id;name;address;department;category;longitude;latitude
830020889;CH DE HYERES ANTENNE SMUR DU LAVANDOU;R DES BUGADIERES 83980 LE LAVANDOU;83;355;6.357324591816562;43.143532058507425
830212536;MECS L ALIZE;15 AV DE BRUNET 83100 TOULON;83;177;5.962724361382294;43.12945098739855
040005043;HJ CH DIGNE;8 R JULES ARNOUX 04000 DIGNE LES BAINS;4;355;6.232018361315453;44.10372982131691
130051063;DISPOSITIF D'INSERTION SOCIALE MNA;76 BD RABATAU 13008 MARSEILLE;13;177;5.395382384112266;43.275108387855354
130015449;HJ PSY SECT25 PORT BOUC CH MARTIGUES;52 AV PAUL VAILLANT COUTURIER 13110 PORT DE BOUC;13;355;4.982298420589467;43.409529406433016
040788218;HJ YVES ARNOUX MANOSQUE;ALL DU PARC 04100 MANOSQUE;4;355;5.7847596127556935;43.82758167072776
130808942;MECS LES ROMARINS-TAOUMÉ;79 TRA CHATEAU VENTO 13014 MARSEILLE;13;177;5.401208902869129;43.337017811047296
830211041;MECS VILLA SEQUOIA;1 R MONDESIR 83100 TOULON;83;177;5.964896191182794;43.13163874937741
840006480;SMUR CH ORANGE SITE VAISON;18 R GRAND'RUE 84110 VAISON LA ROMAINE;84;355;5.074748060347651;44.23963911066889
040780298;PMI CENTRE PLANIFICATION FAMILIALE;PL DES RECOLETS 04000 DIGNE LES BAINS;4;223;6.239536263341582;44.091831563466
040005209;HJ CMP CH DIGNE;11 R ALPHONSE RICHARD 04000 DIGNE LES BAINS;4;355;6.234654036387953;44.09527640369154
130792070;CENTRE DE PMI LA GARENNE;ALL DES PINS 13400 AUBAGNE;13;223;5.548980278960191;43.27574879302081
130008519;MECS SSSIAT;35 AV DE LA PANOUSE 13009 MARSEILLE;13;177;5.422324284176561;43.25718242129561
130810864;MECS SAINT FRANCOIS DE SALES;20 BD MADELEINE REMUSAT 13384 MARSEILLE CEDEX 13;13;177;5.421969151833176;43.33636856372331
130037690;MECS LA DRAILLE;13 MAR DES CAPUCINS 13001 MARSEILLE;13;177;5.380656476531844;43.2964489812012
130783368;MECS CONCORDE;38 R NAU 13006 MARSEILLE;13;177;5.387788030378796;43.29272775469903
130784457;MECS BOIS FLEURI;290 R PIERRE DOIZE 13010 MARSEILLE;13;177;5.425426596155182;43.27128545531179
130000516;CH LOUIS BRUNET D'ALLAUCH;CHE DES MILLE ECUS 13718 ALLAUCH CEDEX;13;355;5.470727375407314;43.3363267151959
130783921;MECS LES SAINTS ANGES;272 AV DE MAZARGUES 13266 MARSEILLE CEDEX 08;13;177;5.393242919421511;43.262076720323016
130784218;MECS ROCHEFONDS;21 CHE COLLINE SAINT JOSEPH 13009 MARSEILLE;13;177;5.414898627766226;43.25313331942364
130808819;MECS DELTA SUD;55 AV CÉLONY 13100 AIX EN PROVENCE;13;177;5.440202187305572;43.52939163282405
130802556;CTRE MEDICO-SOCIAL LE NATIONAL;34 BD BOUES 13003 MARSEILLE;13;223;5.3817385101873745;43.312233265235555
040789232;HJ VILLA VERTE FORCALQUIER;1 AV DU DOCTEUR CASIMIR CAIRE 04300 FORCALQUIER;4;355;5.778048616813461;43.96047997494063
130792427;CENTRE MEDICO-SOCIAL LA VISTE;PL JOSEPH LANIBOIS 13015 MARSEILLE;13;223;5.357230182545621;43.358723149015056
130034457;MECS ADP CANOPÉE;6 R DE CADOLIVE 13004 MARSEILLE;13;177;5.408551251269726;43.30382727242729
130808934;MECS LE MAS DE VILLEVIEILLE;QUA DE LA JANSONNE 13635 ARLES CEDEX;13;177;4.701114333558339;43.64923967845749
840019962;CENTRE MATERNEL - CDEF84;30 AV ANTOINE VIVALDI 84000 AVIGNON;84;166;4.808356588088467;43.9278510455454
130045867;HOTEL MATERNEL LE RELAIS;9 CHE DE SAINT DONAT 13100 AIX EN PROVENCE;13;166;5.45245946933542;43.540735374988486
130046956;MECS ACTE 13;350 RTE DES MILLES 13090 AIX EN PROVENCE;13;177;5.435499533016049;43.51004434751677
830004073;MECS LES BOUGAINVILLIERS;52 CHE COUNILLIER 83600 FREJUS;83;177;6.745205572953094;43.441389180739925
830103263;MECS LA VALBOURDINE;174 BD BIANCHI 83200 TOULON;83;177;5.919269568787599;43.13781315541515
040003253;SOS VILLAGE D ENFANTS;4 R BORIS CYRULNIK 04000 DIGNE LES BAINS;4;176;6.252863579913185;44.10389728328829
040005035;HJ CASA CH DIGNE;83 BD VICTOR HUGO 04000 DIGNE LES BAINS;4;355;6.231544513242803;44.100055043151215
830212544;MECS AIGUEBELLE;429 ROC DES PLAYES 83140 SIX FOURS LES PLAGES;83;177;5.826861379227674;43.100176403944616
040780660;MAISON D ENFANTS SAINT MARTIN;9 AV PAUL MARTIN 04000 DIGNE LES BAINS;4;177;6.235871127924439;44.09683034936102
830009528;CHI FREJUS ST RAPAHEL GERONTOLOGIE;345 BD GEORGES CLEMENCEAU 83700 ST RAPHAEL;83;355;6.775741487850073;43.42282571754647
130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;179 AV DES SOEURS GASTINE 13400 AUBAGNE;13;355;5.563526413188915;43.291572720635145
130045065;HJ PSY SECTEUR 10 CH MARTIGUES;5 R LOUISON BOBET 13500 MARTIGUES;13;355;5.039135465867692;43.421732003440894
130052327;MECS ADAMAL;89 BD ARISTIDE BRIAND 13300 SALON DE PROVENCE;13;177;5.092808719560771;43.63824304068943
